"rr","year","revenue","rrcode","revenue.ton.miles","price","price.capital","quantity.capital","price.cars","price.locomotives","quantity.cars","quantity.locomotives","quantity.fuel","price.fuel","price.labor","quantity.labor","average.length.of.haul","miles.of.road","percent.unit","percent.bulk"
"KCS",1996,669639398.851659,134500,18174605000,0.0368447841838466,NA,NA,1977.50509026537,45606.0666922764,15209,435,55160093,0.779150786756842,36.9462966060661,5341375,297.8564453,2954,0.26524056653417,0.137538142738803
"KCS",1997,666853397.959823,134500,19418706000,0.0343407741978185,NA,NA,1485.50346411541,40604.5383528064,16520,412,58000191,0.778311698644497,38.1053190459268,5239528,325.3532104,2845,0.271875294368224,0.151229935622647
"KCS",1998,728976168.917634,134500,21635293000,0.0336938431532974,NA,NA,1371.06329304028,34321.7592147351,15691,426,63364766,0.648917549149104,35.0508545781773,5464998,322.5104675,2756,0.284974696899182,0.148964134060987
"KCS",1999,711385230.012116,134500,22225657000,0.0320073881285991,0.139363928567145,1603022695.19491,1319.67155374437,27614.0157269476,15337,495,63992383,0.643882605036294,36.368621249679,5574288,341.3397827,2756,0.291376897641704,0.154783848561401
"KCS",2000,659762795.696298,134500,19958445000,0.0330568236000499,0.134859691846932,1578957781.22443,1264.17083419396,25174.7856796766,14610,491,54292964,1.01894634873402,35.7107735545352,5163323,319.4322205,2701,0.286973335898663,0.154668286614007
"KCS",2001,678593299.344501,134500,20134739000,0.0337026121542723,0.128448262694012,1742402063.20968,1122.5954956236,31540.645062554,14107,490,57633711,0.917029933108269,39.3991712864798,5034610,308.1438904,3102,0.318051554033057,0.153261851572655
"KCS",2002,650863259.954373,134500,20146038000,0.0323072586259578,0.119786101132335,1880504009.97201,1041.30349248178,36715.0597508795,13561,488,55313784,0.823934219502616,38.6601403031004,5223050,303.783905,3084,0.302986357664966,0.149666026802438
"KCS",2003,650229683.266266,134500,20513163000,0.031698167818696,0.117939153115288,1909485869.77827,989.345329956548,36895.7058900955,13178,487,55442915,1.00207786360554,37.9019196905998,5277964,306.2260437,3084,0.260615100801373,0.164926687642982
"KCS",2004,678224599.950625,134501,21219536000,0.0319622728767785,0.098355694819642,1940311286.66652,988.069450014501,34698.3155843155,13277,518,59196306,1.27166269696448,37.3584161061908,5633737,313.6665,3072,0.43421686402815,0.180125254123217
"KCS",2005,817021864.298062,134502,25167380000,0.03246352478081,0.0999271577492223,2057356410.56305,875.689438911014,34902.197249819,14939,573,73983643,1.82716187064003,42.6696751161695,5581763,345.3642,3197,0.450040308673488,0.182892891790544
"KCS",2006,924039846.221997,134503,30483261000,0.0303130247850451,0.100904755694548,2021859047.37797,833.366176197071,30843.01888423,14355,620,69168958,2.14679758655451,43.3017879507745,5737677,381.014,3176,0.457553590196973,0.176915338869312
"KCS",2007,968491909.301991,134504,30101534000,0.0321741712333329,0.0993805073669175,2277172416.62728,978.194523885745,23194.9587645212,13003,653,70423075,2.20428458154582,38.5704690298774,5915080,386.0656,3151,0.462350849959575,0.170360047581525
"KCS",2008,1091820199.49622,134505,29624261000,0.0368556096469789,0.105856354929025,2517294710.32746,946.104012717655,15532.9691113385,12329,586,63949708,3.34147968078377,36.6552233411524,6079580,373.859602,3165,0.463278465246445,0.164007798522044
"KCS",2009,897478404,134506,28598650000,0.0313818450870933,0.100447213181727,2844301000,628.299990881736,25033.2173913043,10967,552,60561782,1.69220582049584,37.3465713595165,5382877,391.2799289,3076,0.523372427148713,0.148396700297711
"KCS",2010,1076219578.72689,134507,29629155000,0.0363229926309709,0.107073858013889,2980835235.18776,514.572988210436,29777.4758667927,10806,524,62354259,2.28681488268775,41.4979973224624,5369970,390.7158493,3076,0.530224193147656,0.159676382440946
"KCS",2011,1173335849.45841,134508,30485863000,0.0384878672930601,0.110726903227903,3187711384.51412,543.519684118427,50165.0392685076,10523,555,64833378,2.92359733177739,38.0350964300756,6023961,393.5437036,3079,0.567768029075293,0.147850233927032
"KCS",2012,1229230240.55963,134509,29801839000,0.0412467915338925,0.108022405646517,3347792573.16111,821.897577661248,62410.9269902314,10896,534,63456455,2.92712707546844,36.9520993302443,6327316,400.0085768,3238,0.420705159924322,0.146040200552446
